id,group,outcome,note,company,routed_company,routed_fy,oracle_doc,n_facts,n_chunks,seconds,expected,answer,problems
financebench_id_01028,narrative,error,TimeoutError: timed out,,,,,,,600.2,,,
financebench_id_00723,narrative,refused,,American Express,,2022,AMERICANEXPRESS_2022_10K,10,3,60.8,Performance is not measured through operating margin,INSUFFICIENT EVIDENCE to determine if AMEX has an improving operating margin profile as of 2022. The context does not provide operating margin figures for AMEX. [F15204] and [F15287] do not contain operating margin information.,
financebench_id_00720,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,10,3,55.1,Performance is not measured through gross margin,"INSUFFICIENT EVIDENCE to determine the gross margin change or its drivers for American Express as of FY2022. The provided context does not contain any information related to gross margin or its changes. [C3262] and [C3244] focus on regulatory risk-based capital components and stock performance, resp",
financebench_id_01351,direct,ungrounded,no citations: every figure and claim must cite an id,American Express,AMERICANEXPRESS,2021,AMERICANEXPRESS_2022_10K,10,3,47.8,The effective tax rate for American Express has changed/dropped from 24.6% in FY 2021 to 21.6% in FY 2022.,"The effective tax rate of American Express changed by -3.0 percentage points between FY2021 and FY2022 [F15298, F15299].",no citations: every figure and claim must cite an id; figure -3.0 is in no supplied fact — the model computed or recalled it
financebench_id_01964,narrative,unscored,overlap 0.00,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,10,3,45.6,Customer deposits,"American Express's largest liability in 2022 was Total liabilities and shareholders' equity, at $ 228,354 millions [F16276], page 98.",
financebench_id_01981,narrative,refused,,American Express,AMERICANEXPRESS,2022,AMERICANEXPRESS_2022_10K,10,3,51.2,Yes,"INSUFFICIENT EVIDENCE to determine if American Express was able to retain card members during 2022, as there is no information provided about card member retention rates or changes in the number of card members. [C3275] [C3081] [C3080]",
financebench_id_05718,computed,ungrounded,figure $3.89 is in no supplied fact — the model computed or recalled it,American Water Works,AMERICANWATERWORKS,2020,AMERICANWATERWORKS_2020_10K,10,3,51.6,$0.40,"American Water Works's FY2020 cash dividends paid were $3.89 billion [F161899], page 86.",figure $3.89 is in no supplied fact — the model computed or recalled it
financebench_id_04254,computed,ungrounded,no citations: every figure and claim must cite an id,American Water Works,AMERICANWATERWORKS,2021,AMERICANWATERWORKS_2021_10K,10,3,51.1,$1832.00,"American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement was $1,899 millions [F163185, F163186, F162988], page 88.","no citations: every figure and claim must cite an id; figure $1,899 is in no supplied fact — the model computed or recalled it"
financebench_id_00070,direct,refused,,American Water Works,AMERICANWATERWORKS,2022,AMERICANWATERWORKS_2022_10K,10,3,49.8,"No, American Water Works had negative working capital of -$1561M in FY 2022.","INSUFFICIENT EVIDENCE to determine if American Water Works has positive working capital based on FY2022 data. The context provides information on changes in working capital [F167752], but does not give the initial or final working capital values for the period.",
financebench_id_02608,computed,refused,,Best Buy,BESTBUY,2015,BESTBUY_2017_10K,10,3,63.4,2.8%,"INSUFFICIENT EVIDENCE to calculate the net profit margin for Best Buy over FY2015 - FY2017. The context provides net earnings for FY2015 and FY2014 but does not provide revenue figures for these years, which are necessary to calculate the net profit margin.",
